nome_matrice,righe,colonne,esecuzione_completata_1,tempo_di_esecuzione_1,n_iter_1,massima_occupazione_memoria_1,numero_mhs_trovati,cardinalita_minima,cardinalita_massima,nuovo_numero_righe,nuovo_numero_colonne,esecuzione_completata_2,tempo_di_esecuzione_2,n_iter_2,massima_occupazione_memoria_2,numero_mhs_trovati_2,cardinalita_minima_2,cardinalita_massima_2,risultati_uguali
c5315.000,2,2307,1,0.21875,18617,70.6171875,32,1,2,2,17,1,0.203125,125,73.703125,32,1,2,1
c5315.001,4,2307,1,0.234375,51924,71.375,15,1,2,4,15,1,0.1875,327,75.1328125,15,1,2,1
c5315.002,3,2307,1,0.21875,18657,70.30078125,27,1,2,3,17,1,0.1875,125,72.79296875,27,1,2,1
c5315.003,3,2307,1,0.234375,21615,71.45703125,25,1,2,2,17,1,0.171875,132,74.16796875,25,1,2,1
c5315.004,5,2307,1,0.265625,84704,72.3203125,16,1,3,5,14,1,0.1875,266,74.23828125,16,1,3,1
c5315.005,3,2307,1,0.34375,186836,71.5703125,50,1,2,3,51,1,0.21875,3619,75.78125,50,1,2,1
c5315.008,2,2307,1,0.203125,4157,69.29296875,40,1,1,1,40,1,0.1875,40,73.70703125,40,1,1,1
c5315.009,2,2307,1,0.25,60729,71.3046875,321,1,2,2,49,1,0.203125,1222,72.89453125,321,1,2,1
c5315.010,6,2307,1,65.703125,79220966,77.6640625,14272,2,5,6,219,1,9.4375,11254138,78.81640625,14272,2,5,1
c5315.011,6,2307,1,4.25,4868563,71.078125,1365,2,4,6,35,1,0.28125,50146,78.64453125,1365,2,4,1
c5315.012,5,2307,1,0.34375,169821,71.75390625,81,2,4,5,21,1,0.1875,1146,75.953125,81,2,4,1
c5315.013,7,2307,1,938.3125,1021771225,190.1328125,134360,2,4,6,155,1,27.703125,37599364,187.25,134360,2,4,1
c5315.014,5,2307,1,4.4375,5396348,71.8359375,1472,2,4,5,64,1,0.359375,107352,76.52734375,1472,2,4,1
c5315.015,3,2307,1,0.28125,83719,70.46875,41,2,3,3,15,1,0.203125,385,74.296875,41,2,3,1
c5315.018,5,2307,1,5.953125,7460505,72.48828125,13025,2,4,4,64,1,0.40625,164709,76.73046875,13025,2,4,1
c5315.019,7,2307,1,92.171875,97379291,72.2890625,8215,2,4,7,115,1,2.40625,2353325,77.88671875,8215,2,4,1
c5315.021,9,2307,1,2084.09375,1878087291,327.03125,171264,3,7,9,231,1,352.640625,306715145,325.43359375,171264,3,7,1
c5315.023,6,2307,1,0.59375,376629,70.6171875,81,3,5,6,22,1,0.21875,2524,75.984375,81,3,5,1
c5315.024,7,2307,1,640.34375,673552109,138.05859375,137664,3,6,7,116,1,19.5,20346847,142.390625,137664,3,6,1
c5315.025,6,2307,1,4.5,4487503,71.5078125,2214,3,5,5,36,1,0.34375,52867,79.41015625,2214,3,5,1
c5315.028,6,2307,1,2.203125,2242965,71.27734375,533,3,5,6,28,1,0.25,21608,79.66796875,533,3,5,1
c5315.032,7,2307,1,0.890625,790241,70.109375,81,4,6,7,23,1,0.234375,5280,77.57421875,81,4,6,1
c5315.033,7,2307,1,4.53125,4860686,72.91796875,533,4,6,7,29,1,0.296875,46622,78.5546875,533,4,6,1
c5315.034,7,2307,1,68.21875,69991876,72.046875,23400,3,7,7,38,1,0.96875,664239,79.734375,23400,3,7,1
c5315.038,7,2307,1,9.6875,10675420,72.04296875,2214,4,6,6,37,1,0.359375,125133,77.72265625,2214,4,6,1
c5315.039,9,2307,1,2.859375,2635541,71.4140625,144,4,7,9,25,1,0.25,16660,78.26953125,144,4,7,1
c5315.040,9,2307,1,44.3125,40306347,70.703125,5670,5,8,9,45,1,0.78125,593801,78.57421875,5670,5,8,1
c5315.053,9,2307,1,757.265625,645429370,105.36328125,38610,4,7,9,72,1,12.78125,13064426,103.6328125,38610,4,7,1
