nome_matrice,righe,colonne,esecuzione_completata_1,tempo_di_esecuzione_1,n_iter_1,massima_occupazione_memoria_1,numero_mhs_trovati,cardinalita_minima,cardinalita_massima,nuovo_numero_righe,nuovo_numero_colonne,esecuzione_completata_2,tempo_di_esecuzione_2,n_iter_2,massima_occupazione_memoria_2,risultati_uguali
c432.000,4,160,1,0.234375,14318,54.2734375,854,1,3,4,53,1,0.21875,5010,53.39453125,1
c432.001,4,160,1,0.234375,4078,53.31640625,152,1,4,4,25,1,0.203125,1354,52.11328125,1
c432.002,4,160,1,0.234375,8195,52.83203125,303,1,2,4,58,1,0.203125,2603,53.15625,1
c432.003,2,160,1,0.203125,1843,53.0390625,52,1,2,2,17,1,0.1875,145,50.515625,1
c432.004,2,160,1,0.234375,4764,54.0234375,577,1,2,2,51,1,0.25,1315,52.40625,1
c432.005,4,160,1,0.203125,862,52.04296875,16,1,2,3,16,1,0.1875,136,50.86328125,1
c432.006,3,160,1,0.25,8096,53.5,30,1,2,3,29,1,0.1875,973,51.0625,1
c432.007,4,160,1,0.25,25004,53.9140625,169,1,3,4,36,1,0.234375,3624,52.7421875,1
c432.008,5,160,1,0.234375,11340,53.21875,257,1,3,5,39,1,0.203125,2050,52.2265625,1
c432.009,2,160,1,0.21875,4976,52.6640625,436,1,2,2,66,1,0.21875,2183,52.0703125,1
c432.010,10,160,1,1.796875,1445859,57.5625,48316,2,5,9,70,1,1.25,847771,57.45703125,1
c432.011,7,160,1,0.328125,63479,55.40234375,5562,2,4,5,75,1,0.296875,40580,56.3203125,1
c432.012,9,160,1,0.890625,479458,54.9453125,10197,2,6,9,61,1,0.609375,277841,54.9921875,1
c432.013,7,160,1,0.3125,64437,54.62890625,3636,2,4,6,67,1,0.28125,25694,54.796875,1
c432.014,16,160,1,4.328125,3004792,55.359375,3273,2,6,15,94,1,2.484375,1448215,55.48046875,1
c432.015,6,160,1,0.296875,13921,54.91796875,631,2,4,5,32,1,0.3125,7799,53.54296875,1
c432.016,6,160,1,0.390625,166328,54.4140625,1044,2,4,6,83,1,0.3125,71539,55.16796875,1
c432.017,8,160,1,0.640625,477665,52.6484375,9721,2,5,8,43,1,0.375,112308,55.9765625,1
c432.018,11,160,1,4.15625,2996804,65.3828125,80005,2,6,11,103,1,3.140625,2178344,66.03515625,1
c432.019,12,160,1,7.8125,5310058,64.27734375,25790,2,6,11,93,1,3.9375,2500131,65.0390625,1
c432.020,12,160,1,9.9375,6103994,84.84765625,166616,3,7,12,68,1,7.609375,4663716,85.91015625,1
c432.021,6,160,1,0.796875,629092,54.57421875,5239,2,4,6,79,1,0.5,238817,54.328125,1
c432.022,17,160,1,23.71875,13309774,152.84765625,662500,3,7,15,99,1,22.078125,12187349,154.80859375,1
c432.023,24,160,1,366.59375,156816664,543.66796875,452629,3,9,22,107,1,249.3125,111002722,484.86328125,1
c432.024,20,160,1,339.328125,232388989,1078.78125,358492,3,8,19,114,1,462.1875,223795429,1071.1484375,1
c432.025,12,160,1,32.421875,24347813,143.4140625,124196,3,7,12,105,1,23.296875,17325256,144.23046875,1
c432.026,18,160,1,387.34375,227874491,351.4140625,680241,3,7,18,84,1,115.265625,68635971,336.30859375,1
c432.027,9,160,1,2.1875,1839601,57.75,14232,3,6,8,63,1,1.5625,1213723,58.453125,1
c432.028,8,160,1,2.734375,2394162,60.62890625,51187,2,5,8,97,1,1.65625,1436727,61.3671875,1
c432.029,12,160,1,5.921875,4563759,70.51171875,68316,3,8,11,78,1,2.921875,2599197,71.4921875,1
c432.030,19,160,1,5753.703125,2429338746,5449.8046875,18834313,4,10,19,100,1,4771.65625,2001279032,5660.55859375,?
c432.034,15,160,1,64.921875,45102530,145.06640625,35925,3,7,15,103,1,30.09375,18891912,146.00390625,1
c432.035,18,160,1,3226.703125,1635433840,5511.41015625,42895795,4,9,18,99,1,2025.59375,1009367816,5590.45703125,?
c432.036,11,160,1,3.796875,2475427,59.35546875,5850,3,6,11,67,1,2.78125,1905521,60.02734375,1
c432.038,14,160,1,99.078125,60511517,338.51171875,603756,4,9,13,87,1,55.234375,44635339,338.07421875,1
c432.039,19,160,1,84.625,43446261,260.81640625,57308,4,7,16,92,1,8.140625,6058558,85.31640625,1
c432.041,21,160,1,532.015625,259612463,1041.8046875,253944,4,9,20,109,1,214.3125,140238294,1039.93359375,1
c432.043,21,160,1,164.390625,78132511,438.1015625,424656,4,9,20,74,1,115.546875,75255086,437.8046875,1

