nome_matrice,righe,colonne,esecuzione_completata_1,tempo_di_esecuzione_1,n_iter_1,massima_occupazione_memoria_1,numero_mhs_trovati,cardinalita_minima,cardinalita_massima,nuovo_numero_righe,nuovo_numero_colonne,esecuzione_completata_2,tempo_di_esecuzione_2,n_iter_2,massima_occupazione_memoria_2,numero_mhs_trovati_2,cardinalita_minima_2,cardinalita_massima_2,risultati_uguali
c2670.000,1,1193,1,0.171875,1193,69.57421875,1,1,1,1,1,1,0.1875,1,71.02734375,1,1,1,1
c2670.001,1,1193,1,0.1875,1193,69.30859375,1,1,1,1,1,1,0.171875,1,69.12890625,1,1,1,1
c2670.003,4,1193,1,0.640625,667207,73.4375,789,1,3,4,80,1,0.265625,59977,75.44140625,789,1,3,1
c2670.008,1,1193,1,0.171875,1193,69.38671875,1,1,1,1,1,1,0.1875,1,70.55859375,1,1,1,1
c2670.009,7,1193,1,3.421875,3790519,71.08203125,1603,1,4,7,98,1,0.40625,264030,74.33203125,1603,1,4,1
c2670.010,3,1193,1,0.21875,9089,71.16015625,2,2,3,3,4,1,0.1875,14,70.95703125,2,2,3,1
c2670.011,9,1193,1,3.203125,3069224,72.078125,1603,2,5,9,96,1,0.421875,230766,72.99609375,1603,2,5,1
c2670.013,3,1193,1,0.359375,227023,71.59765625,160,2,3,3,84,1,0.21875,13448,74.94921875,160,2,3,1
c2670.014,3,1193,1,0.21875,31256,72.16796875,21,2,3,3,11,1,0.1875,149,71.21484375,21,2,3,1
c2670.018,3,1193,1,0.234375,19377,72.203125,7,2,3,3,9,1,0.203125,82,71.85546875,7,2,3,1
c2670.019,2,1193,1,0.21875,3559,71.609375,1,2,2,2,2,1,0.1875,3,70.4375,1,2,2,1
c2670.020,5,1193,1,0.71875,699792,72.4609375,210,3,5,5,22,1,0.21875,4390,73.6953125,210,3,5,1
c2670.022,6,1193,1,54.5625,65601549,79.3203125,32349,3,5,6,122,1,5.59375,6520470,80.0,32349,3,5,1
c2670.023,5,1193,1,0.484375,343764,71.73828125,110,3,5,5,20,1,0.21875,2195,73.78125,110,3,5,1
c2670.024,4,1193,1,0.234375,29140,72.38671875,4,3,4,4,6,1,0.1875,49,70.12109375,4,3,4,1
c2670.028,6,1193,1,1.25,1289112,71.35546875,308,3,5,6,26,1,0.265625,11965,76.85546875,308,3,5,1
c2670.029,3,1193,1,0.28125,119915,71.50390625,43,3,3,3,45,1,0.21875,2884,72.359375,43,3,3,1
c2670.030,5,1193,1,1.0625,1238067,71.46484375,160,4,5,5,86,1,0.265625,73226,74.296875,160,4,5,1
c2670.032,6,1193,1,0.40625,226021,71.72265625,14,4,6,6,13,1,0.203125,859,72.125,14,4,6,1
c2670.033,5,1193,1,0.9375,973085,71.3671875,215,4,5,5,51,1,0.234375,17476,72.625,215,4,5,1
c2670.034,9,1193,1,689.828125,613182491,171.078125,363014,4,6,9,131,1,65.40625,60750377,169.6640625,363014,4,6,1
c2670.035,6,1193,1,2.578125,2228526,71.75,420,4,6,6,24,1,0.28125,13365,76.29296875,420,4,6,1
c2670.038,7,1193,1,3.984375,3979759,71.5546875,616,4,6,7,28,1,0.265625,35301,75.59765625,616,4,6,1
c2670.039,6,1193,1,0.375,207094,71.5078125,12,4,6,6,10,1,0.171875,425,70.69140625,12,4,6,1
c2670.040,7,1193,1,0.609375,426121,71.984375,12,5,7,7,11,1,0.203125,859,70.6875,12,5,7,1
c2670.041,6,1193,1,1.875,2017777,70.7734375,215,5,6,6,52,1,0.25,34996,74.1796875,215,5,6,1
c2670.042,8,1193,1,80.015625,91868749,72.10546875,4960,5,8,8,99,1,5.734375,5050130,75.37109375,4960,5,8,1
c2670.044,7,1193,1,4.46875,4716140,71.34765625,420,5,7,7,25,1,0.234375,27109,73.42578125,420,5,7,1
c2670.048,8,1193,1,1.359375,1368907,70.41015625,98,5,8,8,21,1,0.234375,12049,72.03515625,98,5,8,1
c2670.054,9,1193,1,325.4375,278421319,79.765625,9920,6,9,9,101,1,13.796875,15303645,80.6015625,9920,6,9,1
c2670.055,8,1193,1,12.65625,14876285,72.71484375,492,6,8,8,52,1,0.5,331207,74.453125,492,6,8,1
c2670.059,7,1193,1,5.4375,5723627,71.2421875,430,6,7,7,54,1,0.296875,78969,73.97265625,430,6,7,1
c2670.062,9,1193,1,34.3125,30171073,71.98046875,492,7,9,9,53,1,0.828125,671099,73.28515625,492,7,9,1
c2670.065,8,1193,1,10.0,11590517,71.921875,430,7,8,8,55,1,0.375,158025,73.99609375,430,7,8,1
