nome_matrice,righe,colonne,esecuzione_completata_1,tempo_di_esecuzione_1,n_iter_1,massima_occupazione_memoria_1,numero_mhs_trovati,cardinalita_minima,cardinalita_massima,nuovo_numero_righe,nuovo_numero_colonne,esecuzione_completata_2,tempo_di_esecuzione_2,n_iter_2,massima_occupazione_memoria_2,risultati_uguali
c499.000,2,202,1,0.21875,4658,52.59765625,197,1,2,2,30,1,0.171875,464,51.05859375,1
c499.001,3,202,1,0.296875,88844,53.609375,2747,1,3,3,45,1,0.234375,10617,54.54296875,1
c499.002,3,202,1,0.265625,64444,54.3046875,1712,1,3,3,42,1,0.25,7056,54.421875,1
c499.003,2,202,1,0.234375,4585,52.609375,184,1,2,2,29,1,0.203125,434,51.1796875,1
c499.004,2,202,1,0.203125,4610,52.54296875,184,1,2,2,29,1,0.21875,434,51.1796875,1
c499.005,2,202,1,0.21875,3526,52.98828125,116,1,2,2,27,1,0.1875,315,51.01953125,1
c499.008,2,202,1,0.203125,2620,52.2890625,54,1,2,2,19,1,0.1875,188,51.0859375,1
c499.009,2,202,1,0.21875,4634,52.0,184,1,2,2,29,1,0.203125,434,50.578125,1
c499.010,5,202,1,0.515625,322635,52.03125,2582,2,4,5,45,1,0.28125,37014,55.890625,1
c499.011,5,202,1,3.09375,4148447,54.625,49004,2,5,5,59,1,0.71875,559722,56.20703125,1
c499.012,5,202,1,5.859375,8049885,63.42578125,122678,2,5,5,65,1,1.171875,1042595,65.34765625,1
c499.013,6,202,1,4.9375,5300634,57.37890625,63538,2,5,6,62,1,0.984375,747621,58.10546875,1
c499.014,5,202,1,0.5,331676,53.74609375,3820,2,4,5,45,1,0.28125,36331,54.6875,1
c499.015,7,202,1,1.765625,1605583,52.58984375,15324,2,5,7,74,1,0.640625,396763,55.27734375,1
c499.018,5,202,1,0.375,190616,52.7109375,3160,2,5,5,40,1,0.25,32191,54.27734375,1
c499.019,4,202,1,0.296875,95441,52.3984375,3709,2,3,4,47,1,0.234375,12247,54.34765625,1
c499.020,7,202,1,6.375,5871174,59.7265625,77716,3,7,7,57,1,1.875,1426929,61.75,1
c499.021,10,202,1,338.34375,336601213,417.046875,1690332,3,7,10,86,1,59.71875,49514975,337.48828125,1
c499.022,9,202,1,138.125,126203309,185.30859375,291562,3,7,9,93,1,35.359375,31323012,186.6171875,1
c499.023,9,202,1,128.171875,113932325,139.7578125,557476,3,7,9,74,1,22.109375,17699156,136.60546875,1
c499.024,11,202,1,24.890625,18585140,72.26953125,81832,3,9,11,57,1,6.5625,4263743,74.11328125,1
c499.025,9,202,1,29.640625,27677266,84.96484375,227262,3,6,9,89,1,8.515625,7337268,85.76171875,1
c499.028,6,202,1,1.328125,1356559,52.46484375,19222,3,5,6,51,1,0.421875,185416,55.09765625,1
c499.029,9,202,1,624.625,522729285,377.625,1580608,3,8,9,81,1,98.78125,79690534,362.58984375,1
c499.030,9,202,1,50.4375,42390903,137.4921875,719352,4,7,9,67,1,14.59375,8854707,140.640625,1
c499.031,9,202,1,429.609375,360879670,304.07421875,540070,3,7,9,81,1,67.640625,57432125,299.2890625,1
c499.032,9,202,1,8.640625,6784071,70.91796875,146696,4,8,9,59,1,2.296875,1855538,73.07421875,1
c499.033,4,202,1,1.53125,1679916,54.25390625,44719,2,4,4,62,1,0.5,247027,54.3046875,1
c499.038,5,202,1,2.671875,3076905,52.37109375,19474,2,5,5,57,1,0.59375,400586,54.86328125,1
c499.040,14,202,1,11662.75,6554232984,4672.6484375,5843884,4,10,14,88,1,2924.59375,1495272013,4842.86328125,1
c499.043,13,202,1,10364.3125,8477651476,5726.609375,42246884,4,9,13,100,1,2226.734375,1731245156,5913.64453125,1
c499.044,9,202,1,16.25,14006300,74.546875,184034,3,8,9,65,1,3.21875,2781020,76.515625,1
