nome_matrice,righe,colonne,esecuzione_completata_1,n_iter_1,tempo_di_esecuzione_1,massima_occupazione_memoria_1,numero_mhs_trovati,cardinalita_minima,cardinalita_massima,nuovo_numero_righe,nuovo_numero_colonne,esecuzione_completata_2,tempo_di_esecuzione_2,n_iter_2,massima_occupazione_memoria_2,risultati_uguali
74283.000,5,36,1,0.21875,1635,53.1953125,34,1,2,5,28,1,0.234375,1442,52.20703125,1
74283.001,4,36,1,0.21875,1425,52.59375,29,1,2,4,24,1,0.1875,736,51.9296875,1
74283.002,4,36,1,0.203125,1208,52.47265625,29,1,2,4,23,1,0.1875,586,51.95703125,1
74283.003,4,36,1,0.203125,389,51.93359375,22,1,2,4,18,1,0.203125,213,51.03515625,1
74283.004,3,36,1,0.1875,154,51.78125,15,1,2,3,12,1,0.203125,55,51.1953125,1
74283.005,3,36,1,0.21875,177,51.41015625,17,1,2,3,13,1,0.203125,67,51.63671875,1
74283.006,6,36,1,0.203125,817,51.3671875,29,1,2,6,20,1,0.203125,345,51.2578125,1
74283.007,3,36,1,0.21875,720,51.75,16,1,2,3,17,1,0.1875,242,51.21484375,1
74283.008,3,36,1,0.1875,330,51.02734375,22,1,2,3,16,1,0.203125,121,51.3203125,1
74283.009,3,36,1,0.203125,274,51.27734375,22,1,2,3,15,1,0.203125,95,51.52734375,1
74283.010,9,36,1,0.265625,11312,54.55078125,247,2,4,9,31,1,0.265625,11008,54.16015625,1
74283.011,9,36,1,0.25,9231,53.41796875,226,2,4,9,28,1,0.25,6755,52.84765625,1
74283.012,9,36,1,0.21875,5012,53.890625,250,2,4,9,28,1,0.25,4411,53.60546875,1
74283.013,7,36,1,0.25,7995,53.375,174,2,3,6,31,1,0.234375,5977,54.49609375,1
74283.014,18,36,1,0.28125,21669,54.66015625,342,2,5,18,31,1,0.265625,16894,54.30078125,1
74283.015,9,36,1,0.28125,16564,54.52734375,401,2,4,9,33,1,0.265625,15388,53.546875,1
74283.016,15,36,1,0.265625,10335,53.44921875,368,2,3,14,30,1,0.25,9349,53.5625,1
74283.017,10,36,1,0.25,10499,53.859375,161,2,4,10,31,1,0.265625,9792,54.16015625,1
74283.018,8,36,1,0.234375,7002,52.921875,151,2,4,8,27,1,0.21875,4771,52.7734375,1
74283.019,12,36,1,0.265625,24422,54.90625,240,2,3,12,35,1,0.265625,24416,53.90234375,1
74283.020,17,36,1,0.375,73704,52.95703125,1690,3,5,14,36,1,0.34375,73704,54.9453125,1
74283.021,12,36,1,0.3125,47392,54.6015625,829,3,5,12,33,1,0.328125,45528,51.69921875,1
74283.022,50,36,1,0.9375,183278,56.53515625,1783,3,6,43,36,1,0.796875,180822,55.86328125,1
74283.023,21,36,1,0.3125,39829,55.17578125,500,3,5,19,33,1,0.28125,38636,54.4375,1
74283.024,21,36,1,0.3125,46257,54.421875,1084,3,5,17,35,1,0.34375,45727,56.5703125,1
74283.025,13,36,1,0.3125,56891,52.88671875,1116,3,5,13,33,1,0.34375,55368,55.13671875,1
74283.026,36,36,1,0.671875,154765,56.34375,1255,3,6,34,36,1,0.671875,153478,55.10546875,1
74283.027,35,36,1,0.640625,145689,56.125,1224,3,6,33,36,1,0.625,145689,54.97265625,1
74283.028,27,36,1,0.453125,92548,55.8203125,1647,3,5,24,35,1,0.4375,92344,54.97265625,1
74283.029,15,36,1,0.3125,41936,54.7265625,1425,3,5,13,34,1,0.296875,41083,54.78515625,1
